,Image 1,Image 2,Similarity
943,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (8 of 21).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (19 of 37).jpg,0.34079864621162415
967,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (8 of 21).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (7 of 37).jpg,0.3556808829307556
956,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (8 of 21).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (30 of 37).jpg,0.37482118606567383
277,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (13 of 21).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (7 of 37).jpg,0.38296008110046387
267,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (13 of 21).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (31 of 37).jpg,0.38849127292633057
