,Image 1,Image 2,Similarity
1213,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (13 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (8 of 37).jpg,0.8146356344223022
183,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (12 of 21).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (5 of 21).jpg,0.8139322400093079
1406,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (2 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (5 of 37).jpg,0.8125855922698975
1582,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (28 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (35 of 37).jpg,0.8119727373123169
1313,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (17 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (25 of 37).jpg,0.8102326393127441
66,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (10 of 21).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (19 of 21).jpg,0.8097326159477234
1404,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (2 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (37 of 37).jpg,0.8088111877441406
1615,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (3 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (5 of 37).jpg,0.8087780475616455
388,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (16 of 21).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (2 of 21).jpg,0.8074820637702942
1330,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (17 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (7 of 37).jpg,0.8067776560783386
1410,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (2 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (9 of 37).jpg,0.806033194065094
1642,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (31 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (7 of 37).jpg,0.8054397702217102
1217,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (14 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (17 of 37).jpg,0.8053544163703918
1315,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (17 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (27 of 37).jpg,0.8046311140060425
393,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (16 of 21).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (5 of 21).jpg,0.8037529587745667
1668,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (34 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (37 of 37).jpg,0.8035144805908203
1243,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (14 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (7 of 37).jpg,0.8033745288848877
1197,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (13 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (27 of 37).jpg,0.8009098172187805
